time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,-0.053114891,0.007094383,-0.005944252,0.021667480,0.015531540,0.035089493,-0.130924225,-0.036315918,-0.114810944,0.002014160,0.003524780,0.033737183,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.130924225,-0.315027237,0.233695984,0.005653381,0.063430786,-0.016868591,-0.053178787,-0.506294250,0.125810623,0.029830933,0.070711136,0.003204346,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.184103012,-0.191267014,-0.107885361,0.024177551,0.007280350,0.020072937,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009730339,-0.053114891,0.007094383,-0.005944252,0.022050858,0.015148163,0.034706116,0.057067871,0.104066849,0.241031647,0.036926270,-0.037765503,-0.022659302,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,-0.057067871,-1.016941071,-0.122146606,-0.036926270,0.085992813,0.013246536,0.000259399,-0.486152649,0.141374588,-0.019973755,0.073274612,0.003631592,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.057327271,0.530788422,0.263521194,0.016952515,-0.012718201,-0.009614944,0.120715141,0.361027718,0.185703278,-0.003612518,-0.009999275,-0.014843941,0.000000000
0.019791842,-0.053114891,0.007094383,-0.005944252,0.022050858,0.015148163,0.035089493,-0.262516022,0.046081543,0.081237793,-0.034240723,-0.035751343,-0.010574341,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.262516022,-0.727014542,0.037647247,0.034240723,0.084985733,0.005287170,-0.010116577,-0.520942688,0.141374588,-0.005447388,0.057893753,0.016876221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.272632599,0.206071854,0.103727341,-0.039688110,-0.027091980,0.011589050,-0.139496485,0.024207433,0.017272949,-0.040168762,-0.016248703,0.004240036,0.000000000
0.029728889,-0.053114891,0.007094383,-0.005944252,0.022050858,0.015531540,0.035089493,0.071838379,0.042419434,0.047668457,-0.039611816,-0.013595581,0.024673462,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,-0.071838379,-0.708703995,0.071216583,0.039611816,0.071990967,-0.012336731,-0.034502029,-0.444038391,0.123216629,-0.024124146,0.050201416,-0.003631592,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.037336349,0.264665604,0.052000046,-0.063735962,-0.021789551,0.008705139,0.127854347,0.062100887,-0.025840759,-0.048162460,-0.008209705,0.001017094,0.000000000
0.039763689,-0.053114891,0.007094383,-0.005944252,0.022050858,0.015531540,0.034706116,0.031555176,-0.046693802,-0.061096191,0.040954590,-0.021652222,0.014602661,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,-0.031555176,-0.263137817,0.179981232,-0.040954590,0.076019287,-0.005384445,-0.017379761,-0.508125305,0.154344559,-0.007522583,0.052764893,0.011749268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.014175415,-0.244987488,-0.025636673,0.033432007,-0.023254395,0.017133713,0.083754730,-0.358041763,-0.082781982,0.039204407,-0.007739639,0.007556534,0.000000000
0.049759865,-0.053114891,0.007094383,-0.005944252,0.022050858,0.015531540,0.035089493,-0.031555176,-0.115053177,0.062438965,0.096008301,-0.029708862,0.005538940,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.031555176,0.078659058,0.056446075,-0.096008301,0.080047607,-0.002769470,0.010635376,-0.548408508,0.132555008,0.003890991,0.077974319,0.010040283,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.020919800,-0.627067566,0.076108932,0.099899292,-0.002073288,0.012809753,0.040549596,-0.616768201,0.015803019,0.088059743,0.011201223,0.002693812,0.000000000
0.059727669,-0.053114891,0.007094383,-0.006327629,0.022050858,0.015531540,0.035089493,0.152404785,-0.134584427,-0.259830475,-0.003356934,0.041793823,0.025680542,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,-0.152404785,0.176315308,0.386383057,0.003356934,0.044296265,-0.012840271,0.041763306,-0.563056946,0.118028641,-0.006484985,0.063020706,0.013458252,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.194168091,-0.739372253,-0.268354416,-0.009841919,0.018724442,0.026298523,0.219117846,-0.624919619,-0.281708854,-0.018584115,0.027427673,0.013870784,0.000000000
0.069739580,-0.053114891,0.007094383,-0.005944252,0.021667480,0.015531540,0.035089493,0.047668457,0.048522949,-0.051696777,-0.071838379,-0.003524780,0.018630981,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,-0.047668457,-0.739221573,0.170581818,0.079505920,0.066955566,-0.009315491,0.013229370,-0.456855774,0.125810623,-0.008041382,0.083528519,-0.004913330,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.060897827,0.282365799,-0.044771194,-0.087547302,0.016572952,0.004402161,0.075116634,0.347216129,-0.050859928,-0.084253311,0.022116661,-0.007022381,0.000000000
0.079727650,-0.053114891,0.007094383,-0.005944252,0.022050858,0.015531540,0.034706116,-0.058410645,-0.102846146,0.104064941,0.007385254,0.000503540,0.016616821,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.058410645,0.017623901,0.014820099,-0.007385254,0.064941406,-0.006391525,-0.038133621,-0.451362610,0.152788162,0.028793335,0.072847366,0.007476807,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.096544266,-0.468986511,0.137968063,0.036178589,0.007905960,0.013868332,-0.073178185,-0.359232161,0.117226071,0.035086738,0.011955261,0.002172258,0.000000000
0.089727879,-0.053114891,0.007477760,-0.005944252,0.022050858,0.015531540,0.034706116,-0.085266113,0.157777786,-0.047668457,0.015441895,0.034744263,0.002517700,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.085266113,-1.312332153,0.166553497,-0.015441895,0.047821045,0.000658035,-0.009597778,-0.542915344,0.134111404,-0.071336746,0.067720413,-0.024566650,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.094863892,0.769416809,-0.032442093,-0.055894852,0.019899368,-0.025224686,-0.064348030,0.791254044,-0.047865677,-0.051288033,0.021553802,-0.033228683,0.000000000
