time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,-0.018982887,-0.654828072,-0.075741768,0.021667480,0.052348137,-0.008245468,-0.039611816,-0.195009232,0.044982910,0.083923340,0.029708862,0.009567261,-0.018982887,-0.686744213,-0.010930061,0.015531540,0.044293404,-0.007862091,0.019814559,4.237853616,5.000263214,0.797604561,-0.624021232,-0.004559671,-0.025680542,4.082397461,5.000000000,0.892606735,-0.612039566,-0.028840065,0.000008651,4.602431774,4.731101990,0.867177963,-0.572920501,-0.001501238,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.169843391,0.000000000,0.000000000,0.000000000,0.000000000,-0.045495101,-0.155456156,-0.000263214,0.095002174,0.011981666,-0.024280394,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009732485,-0.018599510,-0.657896042,-0.075358391,0.021667480,0.052348137,-0.008245468,-0.042297363,-0.193788528,-0.081237793,-0.047668457,-0.005538940,0.021652222,-0.018982887,-0.688775778,-0.010930061,0.015531540,0.044293404,-0.007862091,0.019432135,4.265610427,5.083914757,0.867570519,-0.608961821,-0.010609003,-0.023605347,4.130004883,5.063293457,0.863033295,-0.611185074,-0.005340576,0.000008650,4.617286682,4.753368378,0.871348023,-0.575484991,-0.001508089,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.168908373,0.000000000,0.000000000,0.000000000,0.000000000,-0.043037481,-0.135605544,-0.020621300,-0.004537225,-0.002223253,0.005268427,0.001228810,0.009925306,-0.010179043,-0.049769700,-0.007102460,0.014774410,0.000000000
0.019731998,-0.018982887,-0.659429550,-0.075741768,0.021667480,0.051964760,-0.008245468,-0.020812988,-0.210880280,0.085266113,-0.070495605,-0.018630981,-0.085102081,-0.018982887,-0.690124989,-0.010930061,0.015531540,0.044293404,-0.007862091,0.010415144,4.310077190,5.014263630,0.881906390,-0.602302492,0.042763842,0.006484985,4.047607422,5.059661865,0.905057907,-0.603921890,-0.009613037,0.000008649,4.623902321,4.765244007,0.874270320,-0.577096879,-0.001512396,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.168272495,0.000000000,0.000000000,0.000000000,0.000000000,-0.003930158,-0.262469769,0.045398235,0.023151517,-0.001619399,-0.052376879,0.026890755,-0.077959279,0.037226995,-0.014720639,-0.004332403,-0.028580597,0.000000000
0.029734850,-0.018982887,-0.660964012,-0.075358391,0.021667480,0.051964760,-0.008245468,-0.047668457,-0.158388138,0.031555176,-0.004699707,-0.016616821,0.015609741,-0.018982887,-0.692138493,-0.010930061,0.015531540,0.044293404,-0.007862091,0.023842883,4.208700299,5.050027370,0.850567400,-0.604268312,-0.007594631,0.009597778,4.285644531,5.088714600,0.907133102,-0.605203629,-0.037812233,0.000008654,4.631794453,4.775877476,0.875829279,-0.578055620,-0.001514957,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.167301089,0.000000000,0.000000000,0.000000000,0.000000000,-0.014245104,0.076944232,0.038687229,0.056565702,-0.000935316,-0.030217602,0.012431857,0.196091041,0.022886992,0.014020160,-0.002736241,-0.004815990,0.000000000
0.039781570,-0.018599510,-0.663648605,-0.075358391,0.022050858,0.051964760,-0.008245468,0.016784668,-0.205387115,0.026184082,0.199405670,0.020645142,-0.036758423,-0.018982887,-0.693476021,-0.010930061,0.015531540,0.044293404,-0.007862091,-0.010108877,4.331848174,5.061038494,0.748348653,-0.623858035,0.018586889,-0.064592361,4.428466797,5.123476028,0.845394135,-0.603494644,-0.007904053,0.000008654,4.642111778,4.784203053,0.877388418,-0.579014361,-0.001517519,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.166640714,0.000000000,0.000000000,0.000000000,0.000000000,-0.054483484,0.096618623,0.062437534,0.097045481,0.020363390,-0.026490942,-0.022245218,0.172612345,0.037309837,0.043599951,0.014849973,-0.000871464,0.000000000
0.049730062,-0.018982887,-0.665949821,-0.075358391,0.021667480,0.051964760,-0.008245468,-0.008728027,-0.310977936,-0.027526855,-0.046325684,0.007553101,0.019638062,-0.018982887,-0.694804609,-0.010930061,0.015531540,0.044293404,-0.007862091,0.004372667,4.562815547,5.104985714,0.876571238,-0.619545043,-0.009617320,0.001296997,4.507209778,5.150453568,0.860439301,-0.641092300,-0.005340576,0.000008653,4.647917271,4.801294804,0.881020129,-0.581247389,-0.001523486,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.165972680,0.000000000,0.000000000,0.000000000,0.000000000,-0.003075670,-0.055605769,0.045467854,-0.016131938,-0.021547258,0.004276743,0.024302163,0.016989961,0.016950130,-0.057981223,-0.022550563,0.024913518,0.000000000
0.059728861,-0.018599510,-0.667484283,-0.075741768,0.021667480,0.051964760,-0.008245468,0.018127441,-0.210880280,-0.043640137,-0.032897949,0.051864624,0.014602661,-0.018982887,-0.696789324,-0.010930061,0.015531540,0.044293404,-0.007862091,-0.010780270,4.370345354,5.130900860,0.872447908,-0.643293500,-0.007103875,-0.002334595,4.607917786,5.142152786,0.910245895,-0.626138687,0.004486084,0.000008648,4.659454346,4.817428112,0.883610666,-0.582840085,-0.001527741,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.164952010,0.000000000,0.000000000,0.000000000,0.000000000,0.008445675,0.237572432,0.011251926,0.037797987,0.017154813,0.011589959,0.030705864,0.265858425,-0.014799254,-0.003472541,0.013844149,0.027622915,0.000000000
0.069768429,-0.018599510,-0.669401169,-0.075741768,0.021667480,0.052348137,-0.008245468,0.083923340,-0.162660599,-0.027526855,-0.034240723,0.051864624,-0.034744263,-0.018982887,-0.698107064,-0.010930061,0.015531540,0.044293404,-0.007862091,-0.043678215,4.293648005,5.130851746,0.874354661,-0.645961940,0.017567066,-0.033983231,4.439453125,5.150972366,0.918027878,-0.627420425,-0.011749268,0.000008652,4.670021534,4.825435638,0.884846032,-0.583783329,-0.001530262,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.164259046,0.000000000,0.000000000,0.000000000,0.000000000,0.009694984,0.145805120,0.020120621,0.043673217,0.018541515,-0.029316334,0.027960777,0.152329724,-0.005189240,0.002102353,0.013326995,-0.011622956,0.000000000
0.079740286,-0.018982887,-0.671702385,-0.075741768,0.021667480,0.052348137,-0.008245468,-0.055725098,-0.095521927,-0.082580566,-0.167179108,-0.031723022,0.061935425,-0.018982887,-0.700077593,-0.010930061,0.015531540,0.044293404,-0.007862091,0.027871200,4.180445790,5.180453300,0.944958806,-0.606709361,-0.030779568,0.039169312,4.388183594,5.145784378,0.901945114,-0.618021011,-0.023712158,0.000008651,4.684679031,4.847510338,0.888980985,-0.586324573,-0.001537053,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.163199693,0.000000000,0.000000000,0.000000000,0.000000000,0.011298111,0.207737803,-0.034668922,-0.043013692,-0.011311650,0.007067410,0.026279026,0.190455473,-0.053314474,-0.075186272,-0.014689929,0.022009589,0.000000000
0.089730263,-0.018982887,-0.673235893,-0.075741768,0.021667480,0.052348137,-0.008245468,0.039611816,-0.276187897,-0.012756348,-0.016784668,-0.009567261,-0.047836304,-0.018982887,-0.702023566,-0.010930061,0.015531540,0.044293404,-0.007862091,-0.019797262,4.545873255,5.156558037,0.871825278,-0.619055450,0.024102907,-0.005966187,4.682991028,5.154085159,0.923215866,-0.624429703,-0.006195068,0.000008646,4.691988945,4.858527184,0.891044676,-0.587592781,-0.001540442,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.162125871,0.000000000,0.000000000,0.000000000,0.000000000,0.013831076,0.137117773,-0.002472878,0.051390588,-0.005374253,-0.030297975,0.025930791,0.107851899,-0.019006586,0.017296207,-0.007877278,-0.013820217,0.000000000
