time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,-0.056566238,0.009012222,-0.004794121,0.022050858,0.011313438,-0.000575066,-0.020812988,0.025329590,-0.132266998,0.147033691,-0.030715942,-0.013595581,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.089839935,-0.757503510,0.228149414,-0.147033691,0.101641655,0.185120583,0.059402466,-0.597850800,0.119066238,-0.003890991,0.082246780,0.165134430,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.030437469,0.159652710,-0.109083176,0.143142700,-0.019394875,-0.019986153,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009685755,-0.056566238,0.009012222,-0.004794121,0.021667480,0.011313438,-0.000575066,0.124206543,-0.032653809,0.051696777,-0.122867584,-0.004531860,0.019638062,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,-0.055179596,-0.467586517,0.044185638,0.130535126,0.088549614,0.168503761,0.117509842,-0.594188690,0.085344315,-0.004928589,0.079256058,0.170261383,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.172689438,-0.126602173,0.041158676,-0.135463715,-0.009293556,0.001757622,0.101563454,-0.143127441,0.075120926,-0.139303207,0.005050659,0.010871887,0.000000000
0.019669771,-0.056566238,0.009012222,-0.004794121,0.022050858,0.011313438,-0.000575066,0.034240723,-0.007629395,0.159118652,-0.055725098,-0.024673462,0.010574341,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.034786224,-0.592708588,-0.063236237,0.055725098,0.098620415,0.173035622,0.080156326,-0.575874329,0.095720291,-0.004409790,0.086946487,0.151887894,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.045370102,0.016834259,0.158956528,-0.060134888,-0.011673927,-0.021147728,-0.017170588,0.000205994,0.128612518,-0.042649587,0.001780192,-0.008022308,0.000000000
0.029668570,-0.056566238,0.009012222,-0.004794121,0.021667480,0.011313438,-0.000575066,0.118835449,-0.048524857,-0.030212402,0.018127441,0.031723022,-0.058914185,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,-0.049808502,-0.388231277,0.126094818,-0.010459900,0.070422173,0.207779884,0.072374344,-0.603343964,0.099351883,-0.007522583,0.093355179,0.186923981,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.122182846,-0.215112686,-0.026742935,0.002937317,0.022933006,-0.020855904,0.044731617,-0.173805714,-0.042815208,0.015316963,0.027290344,-0.005797863,0.000000000
0.039671898,-0.056566238,0.008628845,-0.004409790,0.022050858,0.011696815,-0.000575066,0.015441895,-0.009460449,0.198062897,0.016784668,0.027694702,-0.017623901,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.053585052,-0.556716919,-0.109867096,-0.016784668,0.070519447,0.187134743,0.082231522,-0.605175018,0.121660233,0.008041382,0.095064163,0.168552399,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.028646469,-0.048458099,0.231527328,0.024826050,0.024544716,-0.018582344,-0.039043808,-0.005720901,0.172364044,0.029764557,0.023121643,-0.002819443,0.000000000
0.049706459,-0.056182861,0.008628845,-0.004794121,0.022050858,0.011313438,-0.000575066,0.148376465,-0.085145950,-0.007385254,-0.091983795,-0.060928345,0.027694702,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,-0.087017059,-0.178289413,0.103267670,0.091983795,0.116747856,0.164475441,0.094682693,-0.607006073,0.122697830,-0.032943726,0.089509964,0.157869339,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.181699753,-0.428716660,0.019430161,-0.124927521,-0.027237892,-0.006606102,0.095007896,-0.321649551,-0.033110936,-0.099990845,-0.023884137,0.007630666,0.000000000
0.059676409,-0.056566238,0.008628845,-0.004409790,0.022050858,0.011696815,-0.000575066,-0.058410645,-0.046693802,0.014099121,0.165832520,-0.011581421,0.013595581,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.127437592,-0.370550156,0.074096680,-0.165832520,0.090157509,0.171525002,0.079118729,-0.630809784,0.119066238,0.006484985,0.078828812,0.195896149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.048318863,-0.260259628,0.044969559,0.172317505,-0.011328697,0.024371147,-0.115723474,-0.131307874,-0.006489890,0.169075012,-0.006835665,0.033092499,0.000000000
0.069670916,-0.056566238,0.008628845,-0.004794121,0.021667480,0.011313438,-0.000575066,0.036926270,-0.046693802,-0.087955475,0.007385254,-0.022659302,-0.037765503,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.032100677,-0.370550156,0.183837891,0.000282288,0.097613335,0.197205544,0.062515259,-0.603343964,0.100908279,0.005966187,0.080537796,0.167697906,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.030414581,-0.232793808,-0.082929611,0.005683899,-0.017075539,-0.029507637,-0.032366276,-0.090861797,-0.117590427,0.002136230,-0.011009693,-0.018188000,0.000000000
0.079670668,-0.056566238,0.009012222,-0.004794121,0.022050858,0.011313438,-0.000575066,-0.147037506,-0.030822754,-0.019470215,0.047668457,-0.055892944,-0.000503540,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.216064453,-0.476741791,0.115352631,-0.047668457,0.114230156,0.178574562,0.064071655,-0.594188690,0.108690262,-0.021011353,0.084383011,0.173679352,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.151992798,-0.117446899,-0.006662369,0.026657104,-0.029847145,-0.004895210,-0.190909916,0.021764543,-0.036731720,0.020541721,-0.021138933,0.005710602,0.000000000
0.089688778,-0.056566238,0.009012222,-0.004794121,0.021667480,0.011313438,-0.000575066,-0.110782623,0.022277832,-0.019470215,-0.113468170,-0.025680542,0.054885864,-0.053114891,0.000000000,0.000000000,0.022050858,0.028570175,0.035089493,0.179809570,-0.742244720,0.115352631,0.121135712,0.099123955,0.150879860,0.067186356,-0.630809784,0.117509842,0.016860962,0.090791702,0.176242828,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.112623215,0.111434937,0.002157211,-0.104274750,-0.008332253,0.025362968,-0.136386299,0.225581741,-0.025120926,-0.099351120,0.000338364,0.032371902,0.000000000
