time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,-0.043910980,0.012080193,-0.008245468,0.007477760,0.004026413,-0.008628845,-0.090641022,0.041809082,0.023498535,-0.071838379,0.033737183,-0.039779663,-0.043527603,0.000430219,-0.005944252,0.007477760,0.003643036,-0.008628845,0.047054601,-0.257187341,-0.166767523,0.011140667,-0.005552690,0.019949772,-0.023605347,-0.174869537,-0.163682938,-0.023086548,0.009185791,0.027130127,0.000008893,-0.015921392,-0.165373728,-0.024778523,0.013041098,0.000059940,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.003099064,0.000000000,0.000000000,0.000000000,0.000000000,-0.070659948,0.082317803,0.003084585,-0.034227215,0.014738481,0.007180355,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009760141,-0.043910980,0.012080193,-0.008245468,0.007477760,0.004026413,-0.008628845,-0.153751373,-0.050966263,0.042297363,-0.061096191,-0.013595581,0.047836304,-0.043527603,0.000394056,-0.005944252,0.007477760,0.003643036,-0.008628845,0.078609777,-0.071800133,-0.176166937,0.005769573,0.018113691,-0.023858212,-0.010116577,-0.160221100,-0.175098419,-0.040208817,0.004058838,-0.013031006,0.000008893,-0.015921392,-0.165373728,-0.024778523,0.013041098,0.000059940,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.002945749,0.000000000,0.000000000,0.000000000,0.000000000,-0.088726354,-0.088420967,0.001068518,-0.045978390,-0.014054853,0.010827206,-0.009033203,-0.085369385,-0.001008034,-0.005875587,-0.014396667,0.001823425,0.000000000
0.019758463,-0.043527603,0.012080193,-0.008245468,0.007477760,0.004026413,-0.009012222,-0.113468170,0.050964355,-0.125553131,0.036926270,-0.052871704,-0.045822144,-0.043527603,0.000359624,-0.005944252,0.007477760,0.003643036,-0.008628845,0.056742978,-0.275803686,-0.092241690,-0.043241657,0.037751753,0.024696209,0.005966187,-0.180362701,-0.176136017,-0.036058426,0.009613037,0.004486084,0.000008893,-0.015921392,-0.165373728,-0.024778523,0.013041098,0.000059940,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.002793095,0.000000000,0.000000000,0.000000000,0.000000000,-0.050776792,0.095440984,-0.083894327,0.007183231,-0.028138716,-0.020210125,0.019277573,0.065661710,-0.057313919,0.031524022,-0.018987020,-0.019475937,0.000000000
0.029760838,-0.043527603,0.012080193,-0.008245468,0.007862091,0.004026413,-0.008628845,-0.049011230,-0.011901855,-0.098697662,0.169860840,0.033737183,0.017623901,-0.043527603,0.000337692,-0.005944252,0.007477760,0.003643036,-0.008628845,0.024514509,-0.150154380,-0.105669424,-0.111438431,-0.005552690,-0.008752010,-0.017898560,-0.160221100,-0.171466827,-0.045396805,0.016876221,0.013458252,0.000008893,-0.015921392,-0.165373728,-0.024778523,0.013041098,0.000059940,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.002692099,0.000000000,0.000000000,0.000000000,0.000000000,-0.042413068,-0.010066720,-0.065797403,0.066041626,0.022428911,0.022210262,0.020730972,-0.029884495,-0.029412746,0.067786813,0.023685455,0.017208338,0.000000000
0.039857626,-0.043527603,0.012080193,-0.007862091,0.007477760,0.004026413,-0.008628845,0.070495605,0.006408691,0.061096191,0.022155762,0.048843384,0.017623901,-0.043527603,0.000306253,-0.005944252,0.007477760,0.003643036,-0.008628845,-0.035238909,-0.186883233,-0.187291548,-0.035856403,-0.013105791,-0.008752010,-0.030349731,-0.178531647,-0.163682938,-0.020492554,-0.006622314,-0.007904053,0.000008893,-0.015921392,-0.165373728,-0.024778523,0.013041098,0.000059940,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.002541625,0.000000000,0.000000000,0.000000000,0.000000000,0.004889178,0.008351587,0.023608610,0.015363850,0.006483477,0.000847958,0.054426575,-0.009172951,0.047994614,0.013687229,0.006192017,-0.003323174,0.000000000
0.049761295,-0.043527603,0.012080193,-0.008245468,0.007477760,0.004026413,-0.008628845,0.124206543,0.013732910,0.002014160,0.047668457,0.008560181,0.009567261,-0.043527603,0.000286347,-0.005944252,0.007477760,0.003643036,-0.008628845,-0.062094378,-0.201592250,-0.156025335,-0.048612751,0.007035811,-0.004723690,0.044876099,-0.195011139,-0.162645340,-0.026199341,-0.025848389,-0.010467529,0.000008893,-0.015921392,-0.165373728,-0.024778523,0.013041098,0.000059940,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.002442525,0.000000000,0.000000000,0.000000000,0.000000000,0.106970477,0.006581111,-0.006620005,0.022413410,-0.032884199,-0.005743839,0.130423228,-0.009119522,0.014804999,0.017280658,-0.027646383,-0.008262475,0.000000000
0.059758902,-0.043910980,0.012463570,-0.008245468,0.007477760,0.004026413,-0.008628845,-0.073181152,0.015563965,0.085266113,-0.042297363,0.038772583,0.011581421,-0.043527603,0.000257925,-0.005944252,0.007477760,0.003643036,-0.008628845,0.038324666,-0.210313210,-0.197651312,-0.003629841,-0.008070391,-0.005730770,-0.000259399,-0.178531647,-0.181842804,-0.005447388,0.002349854,-0.010467529,0.000008893,-0.015921392,-0.165373728,-0.024778523,0.013041098,0.000059940,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.002295254,0.000000000,0.000000000,0.000000000,0.000000000,-0.038584066,0.031781564,0.015808508,-0.001817547,0.010420244,-0.004736759,-0.012969698,0.013783655,0.031914439,-0.005957399,0.013421195,-0.006218910,0.000000000
0.069761038,-0.043527603,0.012080193,-0.008245468,0.007862091,0.004026413,-0.008628845,0.051696777,-0.015563965,-0.078552246,0.144348145,0.006546021,0.040786743,-0.043527603,0.000239954,-0.005944252,0.007477760,0.003643036,-0.008628845,-0.025839495,-0.146620533,-0.112419263,-0.098063942,0.007653608,-0.020334465,-0.012710571,-0.176700592,-0.167316437,-0.014785767,0.014312744,0.017730713,0.000008894,-0.019428875,-0.162050858,-0.024160381,0.012651815,0.000058907,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.002198242,0.000000000,0.000000000,0.000000000,0.000000000,0.013128924,-0.030080059,-0.054897174,0.083278175,0.006659136,0.038065178,0.033900380,-0.042068222,-0.033942338,0.069246033,0.008452576,0.032010148,0.000000000
0.079757929,-0.043527603,0.012080193,-0.008245468,0.007477760,0.004026413,-0.008628845,0.079895020,-0.124818802,-0.012756348,-0.091983795,0.008560181,0.069992065,-0.043527603,0.000222749,-0.005944252,0.007477760,0.003643036,-0.008628845,-0.039938616,0.074776324,-0.148082376,0.021833055,0.006645559,-0.034937129,-0.018417358,-0.202335358,-0.155900955,-0.013748169,-0.001495361,0.012603760,0.000008893,-0.016510086,-0.164816022,-0.024158843,0.012650847,0.000058904,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.002102214,0.000000000,0.000000000,0.000000000,0.000000000,0.021521258,-0.277111682,-0.007818580,-0.035581224,-0.008140921,0.047540888,0.037593524,-0.256977640,0.011676672,-0.044100770,-0.005642205,0.036876319,0.000000000
0.089789152,-0.043910980,0.012080193,-0.008245468,0.007477760,0.004026413,-0.008628845,0.057067871,-0.039369583,0.050354004,-0.030212402,0.043807983,0.018630981,-0.043527603,0.000206303,-0.005944252,0.007477760,0.003643036,-0.008628845,-0.026799845,-0.095557279,-0.180195257,-0.009672321,-0.010588091,-0.009255550,-0.031387329,-0.182193756,-0.168354034,-0.010116577,0.019866943,0.023712158,0.000008893,-0.015921392,-0.165373728,-0.024778523,0.013041098,0.000059940,4.500000000,13.000000000,4.500000000,4.500000000,4.500000000,4.500000000,0.500000000,2.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,-0.002007243,0.000000000,0.000000000,0.000000000,0.000000000,-0.004587484,-0.086636477,0.011841223,-0.000444256,0.030455034,0.032967709,0.010336304,-0.059852192,0.028202827,-0.008067422,0.029658375,0.020072825,0.000000000
