time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6
0.000000000,-0.013998032,-0.021284103,-0.772179604,0.021667480,-0.026653290,0.028186798,-0.086612701,0.084535599,-0.143009186,0.074523926,0.010574341,0.028701782,-0.015914917,0.008628845,-0.850544393,0.022434235,-0.029337883,0.027803421,0.034689009,6.622431278,-6.410032738,-1.087642312,0.658717453,-0.014336651,0.000259399,6.656898499,-6.402334213,-1.102205276,0.677835464,-0.001068115,0.000008643,6.530090809,-5.868339539,-1.053830743,0.676085293,0.001739437,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.245158419,0.000000000,0.000000000,0.000000000,-0.034429610,0.034467220,0.007698524,-0.014562964,0.019118011,0.013268536,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009588242,-0.013998032,-0.021284103,-0.772946358,0.021667480,-0.027037621,0.028186798,0.019470215,-0.015563965,-0.036926270,-0.143009186,0.043807983,-0.048843384,-0.015914917,0.008628845,-0.853490412,0.022434235,-0.029337883,0.027803421,-0.018352442,6.677366734,-6.503096731,-0.979520679,0.644403577,0.024437492,-0.037096024,6.680702209,-6.414267540,-1.108430862,0.667581558,-0.007476807,0.000008650,6.534976482,-5.872967720,-1.054475665,0.676658750,0.001740997,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.246732965,0.000000000,0.000000000,0.000000000,-0.018743582,0.003335476,0.088829192,-0.128910184,0.023177981,-0.031914299,0.007843014,-0.015565872,0.040565334,-0.057173610,0.002029985,-0.022591417
0.019620419,-0.013998032,-0.021284103,-0.773713112,0.021667480,-0.027037621,0.028186798,-0.019470215,0.050354004,-0.077209473,0.090637207,0.000503540,-0.031723022,-0.015914917,0.008628845,-0.855476439,0.022434235,-0.029337883,0.027803421,0.001117766,6.646987438,-6.485384672,-1.096811652,0.666345894,0.015878100,-0.001296997,6.658729553,-6.546044350,-1.109987259,0.645792007,-0.012603760,0.000008642,6.537556171,-5.875411510,-1.054943442,0.676948845,0.001741786,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.247771189,0.000000000,0.000000000,0.000000000,-0.002414763,0.011742115,-0.060659677,-0.013175607,-0.020553887,-0.028481860,0.016114555,-0.004772822,-0.072615690,0.039040645,-0.027801255,-0.012772652
0.029590130,-0.013998032,-0.021284103,-0.773713112,0.021667480,-0.027037621,0.028186798,-0.008728027,0.074157715,-0.124210358,-0.003356934,-0.057907104,-0.015609741,-0.015914917,0.008628845,-0.858456969,0.022434235,-0.029337883,0.027803421,-0.004253328,6.640241623,-6.476318526,-1.050749660,0.696130991,0.007823036,0.001296997,6.662391663,-6.530998230,-1.114137650,0.662454605,-0.000640869,0.000008642,6.542712212,-5.880296230,-1.055878520,0.677528620,0.001743363,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.249294862,0.000000000,0.000000000,0.000000000,0.005550325,0.022150040,-0.054679704,-0.063387990,-0.033676386,-0.008463906,0.018059733,0.004226327,-0.049976787,-0.008378804,-0.030692816,0.005433977
0.039677382,-0.013998032,-0.021284103,-0.774097443,0.021667480,-0.027037621,0.028186798,-0.032897949,-0.046693802,-0.200748444,0.101379395,0.012588501,-0.012588501,-0.015914917,0.008628845,-0.860455036,0.022434235,-0.029337883,0.027803421,0.007831633,6.700667381,-6.433123284,-1.103117824,0.660883188,0.006312416,-0.002853394,6.709999084,-6.548119545,-1.089753151,0.682962418,-0.018157959,0.000008642,6.542712212,-5.880296230,-1.055878520,0.677528620,0.001743363,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.250293434,0.000000000,0.000000000,0.000000000,-0.010685026,0.009331703,-0.114996261,0.013364673,0.022079229,-0.024470375,0.001459505,-0.006873608,-0.088234676,0.054699087,0.020050240,-0.008457995
0.049621344,-0.013998032,-0.021284103,-0.774097443,0.021667480,-0.027037621,0.028186798,0.004699707,0.013122559,0.003356934,-0.101383209,-0.026687622,-0.017623901,-0.015914917,0.008628845,-0.863457561,0.022434235,-0.029337883,0.027803421,-0.010967196,6.673342705,-6.597486460,-1.002205014,0.680811763,0.008830906,-0.017379761,6.682533264,-6.553307533,-1.146821976,0.669717789,0.001922607,0.000008642,6.545295715,-5.882743835,-1.056347013,0.677819133,0.001744153,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.251760095,0.000000000,0.000000000,0.000000000,-0.006412565,0.009190559,0.044178927,-0.144616961,-0.011093974,-0.006908299,0.004776638,-0.005845626,0.059117093,-0.086068789,-0.010935803,0.007586735
0.059622526,-0.013998032,-0.021284103,-0.774480820,0.021667480,-0.026653290,0.028186798,0.053039551,-0.051576614,-0.263858795,-0.022155762,-0.019638062,0.001510620,-0.015914917,0.008628845,-0.865494549,0.022434235,-0.029337883,0.027803421,-0.035137118,6.708268166,-6.423478040,-1.042285800,0.675847113,-0.000735566,-0.007003784,6.675209045,-6.594811440,-1.108949661,0.672281265,-0.013458252,0.000008642,6.547871590,-5.885184288,-1.056814075,0.678108752,0.001744940,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.252732188,0.000000000,0.000000000,0.000000000,0.028133333,-0.033059120,-0.171333399,-0.066663861,-0.003565848,-0.012722685,0.033705031,-0.041224548,-0.134053057,-0.006956305,-0.002920866,0.001519156
0.069593430,-0.013998032,-0.021284103,-0.774864197,0.021667480,-0.027037621,0.028186798,0.010070801,-0.003967285,-0.112125397,-0.019470215,-0.034744263,-0.000503540,-0.015914917,0.008628845,-0.868526042,0.022434235,-0.029337883,0.027803421,-0.013652743,6.687038422,-6.549008719,-1.044095516,0.685419261,0.000272301,0.019973755,6.666053772,-6.630090714,-1.128145218,0.690652847,0.006195068,0.000008642,6.550446510,-5.887623787,-1.057281017,0.678398311,0.001745728,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.254145205,0.000000000,0.000000000,0.000000000,0.033626498,-0.020984650,-0.081081994,-0.084049702,0.005233586,0.005922767,0.034298421,-0.025506318,-0.038326445,-0.021299377,0.005143747,0.017644032
0.079585314,-0.013613701,-0.021284103,-0.775247574,0.021667480,-0.027037621,0.028186798,0.051696777,-0.111391068,0.004699707,-0.006042480,0.035751343,0.030715942,-0.015914917,0.008628845,-0.870561421,0.022434235,-0.029337883,0.027803421,-0.036195219,6.740750313,-6.641346767,-1.050809383,0.650171459,-0.015337440,0.001296997,6.728309631,-6.633722305,-1.084565163,0.697061539,-0.010467529,0.000008642,6.550446510,-5.887623787,-1.057281017,0.678398311,0.001745728,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.255071580,0.000000000,0.000000000,0.000000000,0.037492216,-0.012440681,0.007624462,-0.033755779,0.046890080,0.004869911,0.033923680,-0.015077644,0.044782232,0.025772929,0.041600214,0.014747712
0.089602947,-0.013998032,-0.021284103,-0.775247574,0.021667480,-0.027037621,0.028186798,-0.006042480,0.025329590,-0.022155762,0.040954590,-0.063949585,0.010574341,-0.015914917,0.008628845,-0.873649657,0.022434235,-0.029337883,0.027803421,-0.005596102,6.674963951,-6.644476140,-1.074774742,0.700311422,-0.005265852,-0.023086548,6.680702209,-6.698054314,-1.098573685,0.676553726,-0.007904053,0.000008642,6.553020477,-5.890062332,-1.057747841,0.678687811,0.001746515,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.256443352,0.000000000,0.000000000,0.000000000,-0.017490446,0.005738258,-0.053578174,-0.023798943,-0.023757696,-0.002638201,-0.018953084,0.002791166,-0.014778363,0.032156789,-0.026142806,0.006515640
